;word;frequency;category;;Colors
4118;planetaryemergency;18;climate;;
4133;noairportexpansion;18;climate;;
4157;earthprotector;18;climate;;
4159;beyondpolitics;18;climate;;
4221;borisyourrubbish;18;climate;;
4229;stormdennis;18;climate;;
4244;xrsouthwark;17;climate;;
4248;renewableenergy;17;climate;;
4278;hydrogen;17;climate;;
4336;exxonmobil;17;climate;;
4359;savewhitehawkhill;17;climate;;
4364;conservationist;17;climate;;
4368;monoculture;17;climate;;
4374;rebelsofnewbury;17;climate;;
4402;digitalrebellion;17;climate;;
4403;wearetheboat;17;climate;;
4425;polluting;16;climate;;
4441;fridaysforfurture;16;climate;;
4482;ff;16;climate;;
4501;teachthefuture;16;climate;;
4513;permaculture;16;climate;;
4516;organic;16;climate;;
4545;ancientwoodland;16;climate;;
4551;headingforextinction;16;climate;;
4568;ecopositive;16;climate;;
4580;earthhour;16;climate;;
4583;connectingcommunitie;16;climate;;
4584;noinsectsnofuture;16;climate;;
4587;doughnuteconomic;16;climate;;
4596;fridays;15;climate;;
4674;airquality;15;climate;;
4685;redrebel;15;climate;;
4693;davidattenborough;15;climate;;
4709;sustainably;15;climate;;
4716;overheating;15;climate;;
4753;pollutersout_cop;15;climate;;
4758;oilinthewater;15;climate;;
4731;regenerati;15;climate;;
4775;xrbanbury;14;climate;;
4789;climateemerge;14;climate;;
4792;ecoanxiety;14;climate;;
4799;climatecriminal;14;climate;;
4803;climatejusticenow;14;climate;;
4854;petroleum;14;climate;;
4891;itstimetolevelup;14;climate;;
4910;powertothepeople;14;climate;;
4942;naturenow;14;climate;;
4955;eastcambsbuscyclewalk;14;climate;;
5037;reusable;13;climate;;
5084;climateeme;13;climate;;
5096;freshwater;13;climate;;
5098;massextinction;13;climate;;
5115;overconsumption;13;climate;;
5117;xrfarnham;13;climate;;
5156;talksforfuture;13;climate;;
5161;fossilfuelisdead;13;climate;;
5225;systemchangenotclimatechange;12;climate;;
5238;warmth;12;climate;;
5285;anthropocene;12;climate;;
5293;naturecrisis;12;climate;;
5310;microplastic;12;climate;;
5312;kangaroo;12;climate;;
5386;climateactnow;12;climate;;
5389;climateemergencynow;12;climate;;
5442;fridaysforfut;11;climate;;
5489;greenhouse;11;climate;;
5510;greenbelt;11;climate;;
5518;fossi;11;climate;;
5540;climatecafe;11;climate;;
5551;climatecri;11;climate;;
5561;extinctionrebel;11;climate;;
5582;australianwildfire;11;climate;;
5584;veganism;11;climate;;
5599;vegetarian;11;climate;;
5610;australianbushfiredisaster;11;climate;;
5614;standupfortree;11;climate;;
5687;agribusiness;11;climate;;
5735;celsius;10;climate;;
5737;erosion;10;climate;;
5754;exxonknew;10;climate;;
5765;climatechaos;10;climate;;
5766;cleanenergy;10;climate;;
5939;refurbishnotdemolish;10;climate;;
5944;peatfree;10;climate;;
5951;publictransport;10;climate;;
5967;glysophate;10;climate;;
5982;savecongofor;10;climate;;
