;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
10;act;9.0;0.043467761410287374;12.0;0.05489980785067252;17.0;0.0792910447761194;12.0;0.10651517841292384;40.0;0.1794124243103835;26.0;0.10091600683123739;14.0;0.04794520547945205;15.0;0.06248177614862332;12.0;0.05685048322910744;21.0;0.060851926977687626;9.0;0.03367633302151543;11.0;0.03313452617627568;10.0;0.027898672023211696;18.0;0.045967618366617294;19.0;0.04403652714040699;51.0;0.10646959353666939;31.0;0.07910181168665475;21.0;0.07112375533428165;23.0;0.07808786582467576;34.0;0.13814960789890698;23.0;0.09402338320660616;37.0;0.12485237050784545;20.0;0.10370754472387865;20.0;0.09620935154897056;42.0;0.23932987634623054;39.0;0.0975438947526387
11;grassroots;6.0;0.028978507606858245;0.0;0.0;1.0;0.004664179104477612;2.0;0.017752529735487306;0.0;0.0;4.0;0.01552553951249806;7.0;0.023972602739726026;3.0;0.012496355229724664;4.0;0.018950161076369147;8.0;0.023181686467690525;6.0;0.02245088868101029;4.0;0.012048918609554793;4.0;0.011159468809284678;12.0;0.030645078911078198;5.0;0.011588559773791312;5.0;0.010438195444771509;2.0;0.0051033426894615975;0.0;0.0;0.0;0.0;1.0;0.004063223761732559;5.0;0.0204398659144796;5.0;0.016871941960519655;2.0;0.010370754472387866;5.0;0.02405233788724264;6.0;0.03418998233517579;4.0;0.01000450202591166
12;abolish;5.0;0.02414875633904854;1.0;0.004574983987556043;9.0;0.041977611940298504;3.0;0.02662879460323096;8.0;0.035882484862076694;4.0;0.01552553951249806;1.0;0.003424657534246575;6.0;0.024992710459449327;5.0;0.023687701345461436;7.0;0.02028397565922921;4.0;0.014967259120673527;3.0;0.009036688957166094;15.0;0.041848008034817544;10.0;0.02553756575923183;5.0;0.011588559773791312;6.0;0.012525834533725808;3.0;0.007655014034192396;10.0;0.0338684549210865;0.0;0.0;5.0;0.020316118808662794;2.0;0.00817594636579184;6.0;0.020246330352623586;9.0;0.046668395125745395;4.0;0.01924187030979411;4.0;0.022793321556783864;33.0;0.08253714171377119
13;rise;4.0;0.01931900507123883;11.0;0.050324823863116486;11.0;0.05130597014925373;2.0;0.017752529735487306;11.0;0.04933841668535546;9.0;0.03493246390312064;5.0;0.017123287671232876;6.0;0.024992710459449327;8.0;0.037900322152738294;6.0;0.017386264850767892;11.0;0.0411599625818522;10.0;0.030122296523886982;8.0;0.022318937618569356;13.0;0.03319883548700138;7.0;0.016223983683307838;12.0;0.025051669067451616;8.0;0.02041337075784639;7.0;0.02370791844476055;3.0;0.010185373803218578;7.0;0.028442566332127907;9.0;0.03679175864606328;5.0;0.016871941960519655;5.0;0.025926886180969663;1.0;0.004810467577448528;5.0;0.02849165194597983;8.0;0.02000900405182332
14;voting;3.0;0.014489253803429122;11.0;0.050324823863116486;16.0;0.0746268656716418;4.0;0.03550505947097461;3.0;0.013455931823278762;6.0;0.02328830926874709;11.0;0.03767123287671233;14.0;0.058316324405381766;6.0;0.02842524161455372;18.0;0.05215879455230368;9.0;0.03367633302151543;11.0;0.03313452617627568;19.0;0.05300747684410222;40.0;0.10215026303692731;22.0;0.05098966300468178;26.0;0.05427861631281184;6.0;0.015310028068384792;7.0;0.02370791844476055;12.0;0.04074149521287431;9.0;0.03656901385559303;11.0;0.044967705011855125;5.0;0.016871941960519655;11.0;0.05703914959813327;6.0;0.02886280546469117;10.0;0.05698330389195966;6.0;0.015006753038867492
15;mass_movement;3.0;0.014489253803429122;2.0;0.009149967975112087;2.0;0.009328358208955225;2.0;0.017752529735487306;1.0;0.004485310607759587;3.0;0.011644154634373545;1.0;0.003424657534246575;2.0;0.008330903486483108;3.0;0.01421262080727686;1.0;0.0028977108084613156;2.0;0.007483629560336763;7.0;0.021085607566720888;12.0;0.03347840642785404;4.0;0.010215026303692733;1.0;0.0023177119547582625;2.0;0.004175278177908603;0.0;0.0;0.0;0.0;3.0;0.010185373803218578;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.005185377236193933;4.0;0.01924187030979411;1.0;0.005698330389195966;0.0;0.0
16;trysocialism;3.0;0.014489253803429122;4.0;0.018299935950224173;3.0;0.013992537313432836;2.0;0.017752529735487306;4.0;0.017941242431038347;2.0;0.00776276975624903;1.0;0.003424657534246575;4.0;0.016661806972966216;3.0;0.01421262080727686;0.0;0.0;2.0;0.007483629560336763;1.0;0.003012229652388698;3.0;0.00836960160696351;8.0;0.020430052607385465;2.0;0.004635423909516525;1.0;0.0020876390889543015;1.0;0.0025516713447307987;0.0;0.0;26.0;0.08827323962789435;3.0;0.012189671285197675;0.0;0.0;5.0;0.016871941960519655;0.0;0.0;10.0;0.04810467577448528;3.0;0.017094991167587895;6.0;0.015006753038867492
17;build_movement;2.0;0.009659502535619416;5.0;0.02287491993778022;2.0;0.009328358208955225;2.0;0.017752529735487306;3.0;0.013455931823278762;8.0;0.03105107902499612;4.0;0.0136986301369863;6.0;0.024992710459449327;7.0;0.033162781883646006;11.0;0.031874818893074475;6.0;0.02245088868101029;1.0;0.003012229652388698;17.0;0.04742774243945988;31.0;0.07916645385361867;7.0;0.016223983683307838;1.0;0.0020876390889543015;1.0;0.0025516713447307987;1.0;0.00338684549210865;3.0;0.010185373803218578;0.0;0.0;2.0;0.00817594636579184;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.011396660778391932;3.0;0.007503376519433746
18;occupy;1.0;0.004829751267809708;2.0;0.009149967975112087;4.0;0.01865671641791045;2.0;0.017752529735487306;2.0;0.008970621215519173;0.0;0.0;6.0;0.020547945205479454;1.0;0.004165451743241554;2.0;0.009475080538184574;1.0;0.0028977108084613156;2.0;0.007483629560336763;7.0;0.021085607566720888;9.0;0.025108804820890524;2.0;0.005107513151846366;2.0;0.004635423909516525;1.0;0.0020876390889543015;2.0;0.0051033426894615975;1.0;0.00338684549210865;0.0;0.0;5.0;0.020316118808662794;2.0;0.00817594636579184;0.0;0.0;0.0;0.0;3.0;0.014431402732345585;2.0;0.011396660778391932;8.0;0.02000900405182332
19;everybodyorganize;1.0;0.004829751267809708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.020246330352623586;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
